time [UTC],interes
2024-09-01,4
2024-09-08,3
2024-09-15,2
2024-09-22,2
2024-09-29,2
2024-10-06,1
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,2
2024-11-24,2
2024-12-01,2
2024-12-08,1
2024-12-15,1
2024-12-22,0
2024-12-29,1
2025-01-05,2
2025-01-12,0
2025-01-19,1
2025-01-26,1
2025-02-02,0
2025-02-09,1
2025-02-16,0
2025-02-23,4
2025-03-02,4
2025-03-09,5
2025-03-16,11
2025-03-23,17
2025-03-30,86
2025-04-06,100
2025-04-13,73
2025-04-20,46
2025-04-27,35
2025-05-04,25
2025-05-11,26
2025-05-18,21
2025-05-25,18
2025-06-01,13
2025-06-08,8
2025-06-15,12
2025-06-22,11
2025-06-29,8
2025-07-06,7
2025-07-13,6
2025-07-20,6
2025-07-27,4
2025-08-03,3
2025-08-10,4
2025-08-17,3
2025-08-24,3
2025-08-31,4
